date,area,average_price,code,houses_sold,no_of_crimes,borough_flag,year
2001-01-01,barking and dagenham,82343,E09000002,215,1771,1,2001
2001-01-02,barking and dagenham,83266,E09000002,238,1600,1,2001
2001-01-03,barking and dagenham,84058,E09000002,274,1759,1,2001
2001-01-04,barking and dagenham,83965,E09000002,241,1643,1,2001
2001-01-05,barking and dagenham,85124,E09000002,283,1809,1,2001
2001-01-06,barking and dagenham,86732,E09000002,292,1835,1,2001
2001-01-07,barking and dagenham,89194,E09000002,289,1774,1,2001
2001-01-08,barking and dagenham,90462,E09000002,321,1828,1,2001
2001-01-09,barking and dagenham,92610,E09000002,251,1692,1,2001
2001-01-10,barking and dagenham,93584,E09000002,270,1743,1,2001
2001-01-11,barking and dagenham,95918,E09000002,282,1601,1,2001
2001-01-12,barking and dagenham,96712,E09000002,247,1421,1,2001
2002-01-01,barking and dagenham,98713,E09000002,216,1751,1,2002
2002-01-02,barking and dagenham,100229,E09000002,198,1529,1,2002
2002-01-03,barking and dagenham,101633,E09000002,261,1626,1,2002
2002-01-04,barking and dagenham,103885,E09000002,285,1685,1,2002
2002-01-05,barking and dagenham,105761,E09000002,335,1872,1,2002
2002-01-06,barking and dagenham,108615,E09000002,307,1630,1,2002
2002-01-07,barking and dagenham,111983,E09000002,347,1757,1,2002
2002-01-08,barking and dagenham,115548,E09000002,350,1651,1,2002
2002-01-09,barking and dagenham,118331,E09000002,268,1600,1,2002
2002-01-10,barking and dagenham,122940,E09000002,312,1753,1,2002
2002-01-11,barking and dagenham,127316,E09000002,300,1631,1,2002
2002-01-12,barking and dagenham,131709,E09000002,270,1555,1,2002
2003-01-01,barking and dagenham,134750,E09000002,254,1652,1,2003
2003-01-02,barking and dagenham,138195,E09000002,219,1473,1,2003
2003-01-03,barking and dagenham,142207,E09000002,247,1786,1,2003
2003-01-04,barking and dagenham,142192,E09000002,254,1620,1,2003
2003-01-05,barking and dagenham,142797,E09000002,248,1887,1,2003
2003-01-06,barking and dagenham,141957,E09000002,325,1782,1,2003
2003-01-07,barking and dagenham,142223,E09000002,329,1832,1,2003
2003-01-08,barking and dagenham,142792,E09000002,339,1774,1,2003
2003-01-09,barking and dagenham,141707,E09000002,361,1711,1,2003
2003-01-10,barking and dagenham,145136,E09000002,347,2049,1,2003
2003-01-11,barking and dagenham,146331,E09000002,318,1940,1,2003
2003-01-12,barking and dagenham,149701,E09000002,374,1579,1,2003
2004-01-01,barking and dagenham,150115,E09000002,321,1768,1,2004
2004-01-02,barking and dagenham,152688,E09000002,297,1823,1,2004
2004-01-03,barking and dagenham,153591,E09000002,368,1974,1,2004
2004-01-04,barking and dagenham,154014,E09000002,302,1860,1,2004
2004-01-05,barking and dagenham,154361,E09000002,322,1907,1,2004
2004-01-06,barking and dagenham,156951,E09000002,351,1833,1,2004
2004-01-07,barking and dagenham,159227,E09000002,330,1769,1,2004
2004-01-08,barking and dagenham,160620,E09000002,316,1717,1,2004
2004-01-09,barking and dagenham,162821,E09000002,292,1693,1,2004
2004-01-10,barking and dagenham,164422,E09000002,254,1711,1,2004
2004-01-11,barking and dagenham,165172,E09000002,255,1701,1,2004
2004-01-12,barking and dagenham,164130,E09000002,208,1515,1,2004
2005-01-01,barking and dagenham,164484,E09000002,183,1694,1,2005
2005-01-02,barking and dagenham,162324,E09000002,168,1584,1,2005
